
IP: ::1, MethodGET, Endpoint /
IP: ::1, MethodGET, Endpoint /
IP: ::1, MethodGET, Endpoint /assignments
IP: ::1, MethodGET, Endpoint /assignments
IP: ::1, MethodGET, Endpoint /
IP: ::1, MethodGET, Endpoint /assignments
IP: ::1, MethodGET, Endpoint /assignments
IP: ::1, MethodGET, Endpoint /assignments
IP: ::1, MethodGET, Endpoint /assignments
IP: ::1, MethodGET, Endpoint /assignments
IP: ::1, MethodGET, Endpoint /assignments
IP: ::1, MethodGET, Endpoint /assignments
IP: ::1, MethodGET, Endpoint /assignments
IP: ::1, MethodGET, Endpoint /assignments
IP: ::1, MethodGET, Endpoint /assignments
IP: ::1, MethodGET, Endpoint /assignments
IP: ::1, MethodGET, Endpoint /assignments
IP: ::1, MethodGET, Endpoint /assignments
IP: ::1, MethodGET, Endpoint /assignments
IP: ::1, MethodGET, Endpoint /assignments
IP: ::1, MethodGET, Endpoint /assignments
IP: ::1, MethodGET, Endpoint /
IP: ::1, MethodGET, Endpoint /
IP: ::1, MethodGET, Endpoint /
IP: ::1, MethodGET, Endpoint /
IP: ::1, MethodGET, Endpoint /assignments
IP: ::1, MethodGET, Endpoint /assignments
IP: ::1, MethodGET, Endpoint /assignments
IP: ::1, MethodGET, Endpoint /assignments
IP: ::1, MethodGET, Endpoint /assignments
IP: ::1, MethodGET, Endpoint /assignments
IP: ::1, MethodGET, Endpoint /assignments
IP: ::1, MethodGET, Endpoint /assignments
IP: ::1, MethodPOST, Endpoint /assignments/
IP: ::1, MethodGET, Endpoint /assignments
IP: ::1, MethodGET, Endpoint /assignments
IP: ::1, MethodPOST, Endpoint /assignments/
IP: ::1, MethodPOST, Endpoint /assignments/
IP: ::1, MethodGET, Endpoint /assignments
IP: ::1, MethodPOST, Endpoint /assignments/
IP: ::1, MethodGET, Endpoint /assignments
IP: ::1, MethodGET, Endpoint /assignments/6
IP: ::1, MethodPUT, Endpoint /assignments/6
IP: ::1, MethodGET, Endpoint /assignments
IP: ::1, MethodPUT, Endpoint /assignments/7
IP: ::1, MethodGET, Endpoint /assignments
IP: ::1, MethodPUT, Endpoint /assignments/7
IP: ::1, MethodPUT, Endpoint /assignments/7
IP: ::1, MethodPUT, Endpoint /assignments/7
IP: ::1, MethodPUT, Endpoint /assignments/7
IP: ::1, MethodPUT, Endpoint /assignments/7
IP: ::1, MethodPUT, Endpoint /assignments/7
IP: ::1, MethodPUT, Endpoint /assignments/7
IP: ::1, MethodPUT, Endpoint /assignments/7
